City,Year,Waste,Recycling,Population_Density,Efficiency,Cost,Awareness,Landfill_Capacity,Cluster,Cluster_Rank,Hotspot_Level,Raw_Hotspot_Score,Hotspot_Score
Surat,2023,33364,50.6,24032.0,7.4,3465.2,8.4,38471.0,2,3,Critical Hotspot,728.4499999999998,100.0
Visakhapatnam,2023,32203,58.4,12359.0,6.2,2363.2,7.4,48016.0,3,1,Medium Hotspot,-3307.8,75.65
Kanpur,2023,26219,53.0,18697.0,8.2,1757.0,8.6,22690.0,0,0,Low Hotspot,-3327.5,75.53
Amritsar,2023,26628,46.0,12612.0,7.2,2525.8,11.0,31477.0,0,0,Low Hotspot,-3400.25,75.09
Vadodara,2023,25016,52.6,21598.0,6.8,3498.6,13.2,24927.0,2,3,Critical Hotspot,-3480.3499999999985,74.61
Gwalior,2023,31998,51.2,11280.0,7.4,2650.6,10.0,54460.0,2,3,Critical Hotspot,-3607.7999999999993,73.84
Guwahati,2023,28929,57.0,22866.0,7.0,2000.2,9.6,60935.0,2,3,Critical Hotspot,-3721.9500000000007,73.15
Rajkot,2023,31648,60.6,23232.0,7.8,1980.8,11.0,62818.0,2,3,Critical Hotspot,-4055.299999999998,71.14
Lucknow,2023,34143,60.8,23465.0,7.2,2263.4,13.2,80251.0,2,3,Critical Hotspot,-4062.3499999999995,71.1
Allahabad,2023,30749,62.2,19181.0,7.2,3142.2,12.0,35432.0,2,3,Critical Hotspot,-4075.7999999999993,71.02
Mumbai,2023,32726,57.8,11191.0,7.4,2616.4,9.8,45575.0,2,3,Critical Hotspot,-4170.149999999998,70.45
Pune,2023,29302,53.0,12547.0,7.4,2831.0,9.2,49524.0,2,3,Critical Hotspot,-4385.999999999999,69.15
Delhi,2023,30020,53.6,14376.0,7.0,2383.8,7.2,74509.0,3,1,Medium Hotspot,-4502.25,68.45
Ahmedabad,2023,32817,53.8,9464.0,6.6,2785.8,10.4,69399.0,3,1,Medium Hotspot,-4590.3499999999985,67.91
Nagpur,2023,23718,55.6,19087.0,7.4,3518.6,9.4,49830.0,2,3,Critical Hotspot,-5886.9,60.09
Coimbatore,2023,33579,51.0,12073.0,8.0,3439.8,14.2,98572.0,1,2,High Hotspot,-6122.4,58.67
Bengaluru,2023,29132,66.0,18195.0,7.4,3051.8,11.8,52609.0,2,3,Critical Hotspot,-6598.65,55.8
Thiruvananthapuram,2023,19774,53.2,18418.0,8.8,3113.6,9.8,30373.0,0,0,Low Hotspot,-6925.449999999999,53.83
Patna,2023,23219,54.2,16101.0,6.4,3595.2,14.4,67316.0,2,3,Critical Hotspot,-7777.999999999999,48.69
Hyderabad,2023,16403,51.2,7927.0,7.6,3375.0,7.4,34239.0,0,0,Low Hotspot,-9085.35,40.8
Chennai,2023,20543,61.4,21430.0,6.8,2681.2,16.2,65486.0,2,3,Critical Hotspot,-9691.099999999999,37.14
Ranchi,2023,22350,56.8,17422.0,7.0,2139.8,12.6,98646.0,1,2,High Hotspot,-9887.900000000001,35.96
Indore,2023,26052,62.8,2929.0,7.0,3187.2,9.4,61142.0,3,1,Medium Hotspot,-9990.5,35.34
Nashik,2023,27816,57.4,2929.0,8.6,2490.6,14.8,63245.0,1,2,High Hotspot,-10190.05,34.13
Jaipur,2023,24908,61.8,2335.0,6.4,2646.8,8.4,71127.0,3,1,Medium Hotspot,-10366.15,33.07
Agra,2023,23151,55.8,4629.0,7.8,2732.4,7.4,82082.0,3,1,Medium Hotspot,-10457.900000000001,32.52
Jodhpur,2023,14227,56.8,6465.0,6.2,3390.8,3.6,45318.0,3,1,Medium Hotspot,-10462.1,32.49
Jabalpur,2023,26801,71.2,7118.0,7.4,2066.6,7.6,63720.0,3,1,Medium Hotspot,-10501.999999999998,32.25
Meerut,2023,21259,55.8,7178.0,8.4,3624.0,11.2,56989.0,1,2,High Hotspot,-10510.25,32.2
Bhopal,2023,29228,58.6,4071.0,9.2,1887.2,14.2,83130.0,1,2,High Hotspot,-10811.099999999999,30.39
Ludhiana,2023,22681,59.0,8678.0,8.2,3938.6,12.6,69241.0,1,2,High Hotspot,-11074.05,28.8
Madurai,2023,7533,52.4,19454.0,8.4,2361.6,10.2,51929.0,0,0,Low Hotspot,-12412.45,20.73
Kolkata,2023,22632,73.8,17335.0,8.4,1789.4,13.0,80985.0,1,2,High Hotspot,-13089.449999999999,16.64
Varanasi,2023,11805,63.0,7976.0,6.4,2580.2,12.0,79314.0,3,1,Medium Hotspot,-15848.5,0.0
